title,tags
Avatar,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following order and protecting an alien civilization. action adventure fantasy science_fiction culture_clash future space_war space_colony society space_travel futuristic romance space alien tribe alien_planet cgi marine soldier battle love_affair anti_war power_relations mind_and_soul 3d sam_worthington zoe_saldana sigourney_weaver james_cameron enter the world of pandora."
Pirates of the Caribbean: At World's End,"captain barbossa, long believed to be dead, ha come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite a it seems. adventure fantasy action ocean drug_abuse exotic_island east_india_trading_company love_of_one's_life traitor shipwreck strong_woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny_depp orlando_bloom keira_knightley gore_verbinski at the end of the world, the adventure begins."
Spectre,"a cryptic message from bond’s past sends him on a trail to uncover a sinister organization. while m battle political force to keep the secret service alive, bond peel back the layer of deceit to reveal the terrible truth behind spectre. action adventure crime spy based_on_novel secret_agent sequel mi6 british_secret_service united_kingdom daniel_craig christoph_waltz léa_seydoux sam_mendes a plan no one escapes"
The Dark Knight Rises,"following the death of district attorney harvey dent, batman assumes responsibility for dent's crime to protect the late attorney's reputation and is subsequently hunted by the gotham city police department. eight year later, batman encounter the mysterious selina kyle and the villainous bane, a new terrorist leader who overwhelms gotham's finest. the dark knight resurfaces to protect a city that ha branded him an enemy. action crime drama thriller dc_comics crime_fighter terrorist secret_identity burglar hostage_drama time_bomb gotham_city vigilante cover-up superhero villainess tragic_hero terrorism destruction catwoman cat_burglar imax flood criminal_underworld batman christian_bale michael_caine gary_oldman christopher_nolan the legend ends"
John Carter,"john carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of barsoom (mars) and reluctantly becomes embroiled in an epic conflict. it's a world on the brink of collapse, and carter rediscovers his humanity when he realizes the survival of barsoom and it people rest in his hands. action adventure science_fiction based_on_novel mar medallion space_travel princess alien steampunk martian escape edgar_rice_burroughs alien_race superhuman_strength mars_civilization sword_and_planet 19th_century 3d taylor_kitsch lynn_collins samantha_morton andrew_stanton lost in our world, found in another."
Spider-Man 3,"the seemingly invincible spider-man go up against an all-new crop of villain – including the shape-shifting sandman. while spider-man’s superpower are altered by an alien organism, his alter ego, peter parker, deal with nemesis eddie brock and also get caught up in a love triangle. fantasy action adventure dual_identity amnesia sandstorm love_of_one's_life forgiveness spider wretch death_of_a_friend egomania sand narcism hostility marvel_comic sequel superhero revenge tobey_maguire kirsten_dunst james_franco sam_raimi the battle within."
Tangled,"when the kingdom's most wanted-and most charming-bandit flynn rider hide out in a mysterious tower, he's taken hostage by rapunzel, a beautiful and feisty tower-bound teen with 70 foot of magical, golden hair. flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strike a deal with the handsome thief and the unlikely duo set off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. animation family hostage magic horse fairy_tale musical princess animation tower blonde_woman selfishness healing_power based_on_fairy_tale duringcreditsstinger healing_gift animal_sidekick zachary_levi mandy_moore donna_murphy byron_howard they're taking adventure to new lengths."
Avengers: Age of Ultron,"when tony stark try to jumpstart a dormant peacekeeping program, thing go awry and earth’s mightiest heroes are put to the ultimate test a the fate of the planet hang in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, and soon uneasy alliance and unexpected action pave the way for an epic and unique global adventure. action adventure science_fiction marvel_comic sequel superhero based_on_comic_book vision superhero_team duringcreditsstinger marvel_cinematic_universe 3d robert_downey_jr. chris_hemsworth mark_ruffalo joss_whedon a new age has come."
Harry Potter and the Half-Blood Prince,"as harry begin his sixth year at hogwarts, he discovers an old book marked a 'property of the half-blood prince', and begin to learn more about lord voldemort's dark past. adventure fantasy family witch magic broom school_of_witchcraft wizardry apparition teenage_crush werewolf daniel_radcliffe rupert_grint emma_watson david_yates dark secrets revealed"
Batman v Superman: Dawn of Justice,"fearing the action of a god-like super hero left unchecked, gotham city’s own formidable, forceful vigilante take on metropolis’s most revered, modern-day savior, while the world wrestle with what sort of hero it really needs. and with batman and superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. action adventure fantasy dc_comics vigilante superhero based_on_comic_book revenge super_powers clark_kent bruce_wayne dc_extended_universe ben_affleck henry_cavill gal_gadot zack_snyder justice or revenge"
